school_name,total_enrollment,percent_students_with_disabilities,percent_english_learners,percent_poverty
High School of Hospitality Management,409.2,19.56,8.120000000000001,91.26
High School of Language and Innovation,338.4,3.34,77.94,97.78
High School of Sports Management,278.0,20.46,6.44,78.38000000000002
High School of Telecommunication Arts and Technolo,1292.0,21.18,6.5,77.17999999999998
High School of World Cultures,415.2,0.8400000000000001,85.3,96.98
Highland Park Community School,233.75,18.75,13.85,91.1
Hillcrest High School,3325.4,10.679999999999998,14.12,80.44
Hillside Arts & Letters Academy,464.0,13.4,11.920000000000002,75.99999999999999
Holcombe L. Rucker School of Community Research,198.4,27.559999999999995,9.94,90.2
Home Instruction,79.6,73.78,4.9,59.42
Hospital Schools,71.2,31.46,7.92,59.75999999999999
Hostos-Lincoln Academy of Science,527.2,19.04,5.0200000000000005,80.52000000000002
Hudson High School of Learning Technologies,481.0,22.62,9.2,82.28
Humanities & Arts Magnet High School,487.8,15.339999999999998,6.159999999999998,79.52000000000002
Humanities Preparatory Academy,217.6,15.5,3.58,75.80000000000003
Hunters Point Community Middle School,306.0,22.84,6.5,61.6
Hyde Leadership Charter School,965.6,19.08,9.5,91.43999999999998
Hyde Leadership Charter School- Brooklyn,377.0,13.04,9.08,90.6
I. S. 381,310.2,18.940000000000005,11.14,61.67999999999999
I.S. 007 Elias Bernstein,1192.4,15.920000000000002,0.86,34.919999999999995
I.S. 010 Horace Greeley,813.8,16.8,13.02,63.6
I.S. 024 Myra S. Barnes,1322.6,22.36,2.04,38.94
I.S. 025 Adrien Block,884.0,16.020000000000003,10.18,59.08
I.S. 027 Anning S. Prall,1058.0,23.82,5.92,70.36000000000001
I.S. 034 Tottenville,1139.4,25.380000000000006,1.4599999999999995,33.36
I.S. 051 Edwin Markham,1248.4,29.74,8.059999999999999,76.56
I.S. 059 Springfield Gardens,555.8,19.54,2.46,73.88
I.S. 061 Leonardo Da Vinci,2240.6,19.04,28.28,95.38
I.S. 061 William A Morris,1093.2,27.880000000000006,8.86,78.46000000000002
I.S. 068 Isaac Bildersee,495.4,26.860000000000007,16.72,73.22
I.S. 072 Rocco Laurie,1313.4,21.4,4.94,63.52
I.S. 075 Frank D. Paulo,1365.6,22.0,1.24,37.6
I.S. 077,1041.6,26.14,21.7,88.72
I.S. 093 Ridgewood,1146.8,19.84,15.3,86.18
I.S. 096 Seth Low,698.4,23.66,29.160000000000004,70.12
I.S. 117 Joseph H. Wade,582.0,26.8,38.76,90.6
I.S. 119 The Glendale,1169.8,10.220000000000002,3.86,68.96000000000001
I.S. 125 Thom J. McCann Woodside,1556.8,16.3,16.380000000000006,60.2
I.S. 136 Charles O. Dewey,487.4,23.2,38.22000000000001,96.44
I.S. 141 The Steinway,1158.8,13.5,6.2200000000000015,52.42
I.S. 145 Joseph Pulitzer,1926.4,16.38,21.92,94.36
I.S. 171 Abraham Lincoln,572.6,17.259999999999998,23.860000000000007,96.28
I.S. 181 Pablo Casals,870.4,23.6,2.38,77.28
I.S. 192 The Linden,508.0,21.52,6.2799999999999985,74.36
I.S. 204 Oliver W. Holmes,553.6,25.02,14.62,87.98
I.S. 206 Ann Mersereau,243.0,29.92,28.340000000000003,84.5
I.S. 211 John Wilson,595.6,23.74,4.5,81.38
I.S. 218 Salome Urena,219.6,22.5,47.82000000000001,93.56
I.S. 219 New Venture School,338.6,28.52,29.76,91.54
I.S. 227 Louis Armstrong,1613.0,14.320000000000002,4.5200000000000005,73.41999999999999
I.S. 228 David A. Boody,1277.0,17.119999999999994,11.24,81.52000000000002
I.S. 229 Roland Patterson,241.0,35.02,19.3,85.79999999999998
I.S. 230,1175.2,12.2,11.94,79.34
I.S. 232,513.2,21.72,38.1,95.7
I.S. 237,1271.0,13.060000000000002,20.62,84.28
I.S. 238 - Susan B. Anthony Academy,1500.2,14.420000000000002,15.14,88.82
I.S. 250 The Robert F. Kennedy Community Middle Sc,377.0,21.72,16.3,81.36
I.S. 254,470.6,27.98,33.28,82.32
I.S. 281 Joseph B Cavallaro,1224.0,16.28,16.1,82.21999999999998
I.S. 285 Meyer Levin,750.8,17.52,2.58,83.78
I.S. 289,287.6,20.0,1.1999999999999995,41.88
I.S. 303 Herbert S. Eisenberg,524.0,16.979999999999997,12.3,65.66
I.S. 313 School of Leadership Development,332.4,24.8,32.78,82.2
I.S. 318 Eugenio Maria De Hostos,1467.4,17.18,5.9,59.48
I.S. 339,536.4,26.98,29.06,93.6
I.S. 340,216.4,15.88,0.74,83.53999999999998
I.S. 347 School of Humanities,328.0,22.58,18.66,94.16
"I.S. 349 Math, Science & Tech.",333.8,16.98,26.18,98.22
I.S. 364 Gateway,340.0,24.440000000000005,1.42,80.52000000000002
I.S. 392,276.4,11.2,0.2,76.54
I.S. 49 Berta A. Dreyfus,738.8,34.120000000000005,11.5,87.24000000000002
I.S. 5 - The Walter Crowley Intermediate School,1773.6,15.44,16.840000000000003,65.34
I.S. 528 Bea Fuller Rodgers School,210.4,20.96,19.880000000000006,96.78
I.S. 584,277.0,33.2,23.1,97.1
I.S. 73 - The Frank Sansivieri Intermediate School,1921.2,17.580000000000002,15.14,58.48
I.S. 98 Bay Academy,1469.0,8.440000000000001,1.3400000000000003,57.62000000000001
I.S. R002 George L. Egbert,872.8,24.7,6.12,68.46000000000001
I.S. X303 Leadership & Community Service,316.6,35.0,14.82,98.98
"I.S. X318 Math, Science & Technology Through Arts",299.2,26.72,17.46,96.2
Icahn Charter School,327.2,7.919999999999999,3.5800000000000005,85.64
Icahn Charter School 2,322.2,10.86,6.76,72.44
Icahn Charter School 3,313.0,12.740000000000002,3.9,83.4
Icahn Charter School 4,300.8,8.3,2.3600000000000003,75.17999999999998
Icahn Charter School 5,250.2,8.22,2.02,67.14
Icahn Charter School 6,232.2,8.98,3.7,89.03999999999998
Icahn Charter School 7,173.2,4.6400000000000015,3.3200000000000003,70.8
Imagine Me Leadership Charter School,224.6,14.62,1.6800000000000002,85.78
In-Tech Academy (M.S. / High School 368),994.4,18.8,15.18,89.92000000000002
Independence High School,326.2,14.580000000000002,5.8,85.75999999999998
Information Technology High School,972.2,17.839999999999996,8.66,80.12
Innovation Diploma Plus,190.0,12.16,2.18,74.91999999999999
Institute for Collaborative Education,482.4,8.319999999999999,0.28,21.36
Institute for Health Professions at Cambria Height,279.6,10.98,6.3599999999999985,76.05999999999997
International Community High School,449.8,4.1400000000000015,84.88,95.04
International High School at LaGuardia Community C,517.4,2.22,63.78000000000001,54.96
International High School at Lafayette,354.6,2.88,85.08,92.16
International High School at Prospect Heights,417.8,6.18,86.82000000000002,61.74
International High School at Union Square,354.0,3.96,85.42,86.55999999999997
International High School for Health Sciences,211.6,1.6200000000000003,80.28,94.44
International Leadership Charter High School,339.0,11.239999999999998,9.64,73.22
International School for Liberal Arts,541.6,8.8,67.22,96.0
Invictus Preparatory Charter School,275.2,17.020000000000003,5.18,79.72
Inwood Academy for Leadership Charter School,684.4,20.48,14.9,78.26
Inwood Early College for Health and Information Te,235.75,19.925,13.95,89.925
Irwin Altman Middle School 172,977.2,16.259999999999998,4.04,61.44
Isaac Newton Middle School for Math & Science,244.6,27.800000000000004,10.5,92.16
It Takes a Village Academy,630.0,13.86,18.44,74.52000000000002
J. M. Rapport School Career Development,532.0,97.26,32.6,78.3
J.H.S. 008 Richard S. Grossley,425.2,24.24,12.36,86.84
J.H.S. 014 Shell Bank,542.8,27.08,19.94,89.66
J.H.S. 022 Jordan L. Mott,469.0,22.98,37.0,94.76
J.H.S. 050 John D. Wells,258.0,33.14,22.78,87.12
J.H.S. 052 Inwood,404.8,18.16,35.67999999999999,89.86000000000001
J.H.S. 054 Booker T. Washington,836.0,12.04,1.5,20.36
J.H.S. 057 Whitelaw Reid,194.6,31.76,6.6,85.84
J.H.S. 062 Ditmas,1233.2,17.76,23.32,87.13999999999999
J.H.S. 067 Louis Pasteur,890.4,8.08,3.4,39.34
J.H.S. 074 Nathaniel Hawthorne,1092.4,13.6,5.2,47.5
J.H.S. 078 Roy H. Mann,695.8,24.92,5.6,78.84
J.H.S. 080 The Mosholu Parkway,652.0,24.04,32.08,88.62
J.H.S. 088 Peter Rouget,1276.6,25.860000000000007,12.86,81.14000000000001
J.H.S. 098 Herman Ridder,244.4,25.1,24.76,95.24
J.H.S. 104 Simon Baruch,1099.8,17.48,5.360000000000001,54.92
J.H.S. 118 William W. Niles,1174.6,20.38,11.16,91.48
J.H.S. 123 James M. Kieran,387.8,29.7,24.44,81.88000000000002
J.H.S. 125 Henry Hudson,391.2,20.08,23.36,95.78
J.H.S. 127 The Castle Hill,762.2,14.32,17.080000000000002,68.84
J.H.S. 131 Albert Einstein,556.0,29.94,9.46,77.36
J.H.S. 143 Eleanor Roosevelt,357.2,24.26,51.55999999999999,77.3
J.H.S. 144 Michelangelo,549.2,26.4,8.620000000000001,66.72
J.H.S. 151 Lou Gehrig,257.8,27.160000000000004,32.379999999999995,96.38
J.H.S. 157 Stephen A. Halsey,1564.2,15.34,10.2,55.17999999999999
J.H.S. 162 The Willoughby,442.4,25.12,19.18,81.5
J.H.S. 167 Robert F. Wagner,1349.0,17.16,3.98,40.54
J.H.S. 185 Edward Bleeker,1522.0,14.060000000000002,10.62,76.02
J.H.S. 189 Daniel Carter Beard,726.4,17.580000000000002,26.12,61.94
J.H.S. 190 Russell Sage,1039.4,13.98,8.780000000000001,47.4
J.H.S. 194 William Carr,1130.8,16.020000000000003,7.32,59.4
J.H.S. 201 The Dyker Heights,1487.4,12.64,8.94,74.46000000000002
J.H.S. 202 Robert H. Goddard,1068.4,15.5,8.299999999999999,83.35999999999999
J.H.S. 210 Elizabeth Blackwell,1889.6,16.82,14.06,83.9
J.H.S. 216 George J. Ryan,1407.0,10.7,8.06,66.58
J.H.S. 217 Robert A. Van Wyck,1616.6,15.960000000000004,17.740000000000006,59.22000000000001
J.H.S. 218 James P. Sinnott,434.0,25.94,20.3,87.8
J.H.S. 220 John J. Pershing,1443.8,14.7,34.14,74.4
J.H.S. 223 The Montauk,968.8,13.8,34.3,95.64
J.H.S. 226 Virgil I. Grissom,998.8,20.04,5.880000000000001,86.4
J.H.S. 227 Edward B. Shallow,1349.2,13.76,28.24,88.52000000000002
J.H.S. 234 Arthur W. Cunningham,1932.8,11.86,8.940000000000003,65.02000000000001
J.H.S. 259 William Mckinley,1625.8,11.64,12.72,77.9
J.H.S. 278 Marine Park,1025.8,18.14,4.48,71.99999999999999
J.H.S. 291 Roland Hayes,371.0,23.300000000000004,27.18,88.47999999999998
J.H.S. 292 Margaret S. Douglas,638.0,19.64,10.68,91.86
J.H.S. 383 Philippa Schuyler,914.0,11.38,2.8,79.5
Jacqueline Kennedy Onassis High School,648.6,18.06,8.319999999999999,77.47999999999998
Jamaica Children's School,93.5,26.125,7.7,93.975
Jamaica Gateway to the Sciences,492.2,11.62,8.82,76.22
"James Baldwin School, The: A School for Expedition",261.8,19.26,6.48,75.94000000000003
James Madison High School,3293.6,14.1,12.16,71.32000000000002
James Weldon Johnson,840.2,27.26,12.58,83.88
Jean Nuzzi Intermediate School,1029.8,13.9,8.6,73.5
Jill Chaifetz Transfer High School,201.4,22.360000000000007,7.0,71.58
John Adams High School,2470.8,15.44,18.42,83.46000000000002
John Bowne High School,3625.4,13.72,19.12,74.3
John Dewey High School,2160.4,12.98,20.5,81.22
John Ericsson Middle School 126,345.2,29.360000000000007,11.72,83.54
John F. Kennedy Jr. School,484.6,99.84,44.0,60.74
John Jay School for Law,391.4,14.24,2.6,78.66
John V. Lindsay Wildcat Academy Charter School,506.2,28.68,7.1400000000000015,78.28
John W. Lavelle Preparatory Charter School,531.8,35.34,2.64,74.9
Jonas Bronck Academy,263.4,20.14,5.160000000000001,89.54
Juan Morel Campos Secondary School,644.4,32.48,24.32,78.34
KAPPA IV,167.2,28.12,15.2,89.74
KIPP AMP Charter School,789.6,16.72,1.3,83.74000000000002
KIPP Academy Charter School,1055.4,17.7,9.06,88.1
KIPP Infinity Charter School,1100.8,21.62,11.2,87.64
KIPP STAR College Prep Charter School,795.0,23.88,5.48,81.52000000000002
KIPP Washington Heights Middle School,732.8,15.919999999999998,13.0,90.23999999999998
Kappa,295.2,18.54,14.76,83.92
Kappa III,361.2,23.14,9.0,90.22
Kappa V (Knowledge and Power Preparatory Academy),209.4,22.84,0.8400000000000001,85.9
Khalil Gibran International Academy,208.2,17.1,34.239999999999995,67.7
Kings Collegiate Charter School,499.0,12.419999999999998,0.96,78.34
Kingsborough Early College School,599.8,17.279999999999998,1.38,73.78
Kingsbridge International High School,465.4,3.640000000000001,82.4,94.12
Knowledge and Power Preparatory Academy Internatio,482.8,23.28,13.279999999999998,88.96
Knowledge and Power Preparatory Academy VI,261.6,11.72,6.1,83.36000000000001
Kurt Hahn Expeditionary Learning School,344.2,22.04,4.62,77.78
La Cima Charter School,401.4,16.7,6.2200000000000015,83.1
Lafayette Academy,145.2,26.7,17.220000000000002,82.44000000000003
Landmark High School,369.8,23.82,9.46,87.61999999999998
Launch Expeditionary Learning Charter School,289.8,25.94,3.3200000000000003,88.74
Leaders of Tomorrow,308.8,30.5,15.52,92.54
Leadership Prep Bedford Stuyvesant Uncommon Prep C,860.6,10.6,1.84,79.4
Leadership Prep Canarsie Charter School (Leadershi,460.6,13.56,0.5399999999999999,82.11999999999998
Leadership Preparatory Brownsville Charter School,656.2,12.88,1.86,89.4
Leadership Preparatory Ocean Hill Charter School,797.8,9.62,2.14,83.4
Leadership and Public Service High School,639.8,19.14,6.16,80.52
Learners and Leaders,505.6,21.880000000000006,21.9,87.64
Learning through Play Pre-K Center,101.33333333333331,5.5,0.0,78.8
Legacy College Preparatory,131.0,19.1,9.2,85.5
Leon M. Goldstein High School for the Sciences,1042.8,14.32,0.7,46.85999999999999
Liberation Diploma Plus,206.4,19.14,1.6,81.64
Liberty Avenue Middle School,354.4,19.340000000000003,16.939999999999998,94.71999999999998
Liberty High School Academy for Newcomers,406.0,3.6,87.12,51.52
Life Academy High School for Film and Music,285.0,21.76,3.38,83.42
Life Sciences Secondary School,658.0,20.68,7.959999999999999,76.06
Lighthouse Elementary School,216.2,31.9,6.959999999999999,94.1
Linden Tree Elementary School,266.4,18.52,23.52,72.93999999999998
Long Island City High School,2213.6,16.46,12.06,79.03999999999998
Longwood Preparatory Academy,258.8,31.46,14.360000000000005,87.26000000000002
Lower East Side Preparatory High School,551.8,4.2799999999999985,69.22,44.89999999999999
Lower Manhattan Arts Academy,356.2,31.6,4.76,63.12000000000001
Lower Manhattan Community Middle School,375.0,27.58,8.2,59.85999999999999
Lucero Elementary School,303.0,22.12,53.04,97.84
Luisa Pineiro Fuentes School of Science and Discov,398.2,20.72,28.420000000000005,78.06
Lyons Community School,522.6,24.24,12.18,87.91999999999999
M.S. 035 Stephen Decatur,197.0,31.06,1.94,88.46000000000002
M.S. 053 Brian Piccolo,321.0,33.94,16.580000000000002,72.05999999999997
M.S. 061 Dr. Gladstone H. Atwell,807.0,16.880000000000006,6.1800000000000015,65.98
M.S. 113 Ronald Edmonds Learning Center,464.4,25.98,4.98,87.44000000000003
M.S. 129 Academy for Independent Learning and Lead,533.4,28.5,15.16,91.8
M.S. 131,432.8,25.4,37.6,94.94
M.S. 137 America's School of Heroes,1906.0,14.26,8.86,87.4
M.S. 158 Marie Curie,1074.4,11.94,7.06,55.0
M.S. 180 Dr. Daniel Hale Williams,893.0,17.660000000000004,1.5399999999999998,73.02000000000002
M.S. 224 Manhattan East School for Arts & Academic,169.4,20.58,5.4,71.7
M.S. 243 Center School,232.8,10.78,0.18,10.74
M.S. 246 Walt Whitman,501.4,25.22,22.58,72.52
M.S. 250 West Side Collaborative Middle School,185.6,27.8,6.12,71.44000000000003
M.S. 255 Salk School of Science,378.6,14.580000000000002,0.16,11.98
M.S. 260 Clinton School Writers & Artists,401.0,17.8,0.86,18.44
"M.S. 267 Math, Science & Technology",225.6,33.2,8.14,88.2
M.S. 297,193.0,21.8,3.1,30.1
M.S. 301 Paul L. Dunbar,219.4,27.380000000000006,23.64,86.68
M.S. 302 Luisa Dessus Cruz,521.4,28.8,24.94,94.9
M.S. 319 - Maria Teresa,535.0,20.32,33.3,94.0
M.S. 324 - Patria Mirabal,439.4,24.98,32.36,88.64000000000001
M.S. 358,257.0,18.0,16.599999999999998,84.10000000000002
M.S. 390,463.6,25.3,27.94,94.64
M.S. 442 Carroll Gardens School for Innovation,210.6,39.82,6.0200000000000005,67.91999999999999
M.S. 51 William Alexander,1125.6,16.580000000000002,2.0200000000000005,25.500000000000004
M.S. 582,257.4,35.52,10.78,77.78
M.S. 839,213.66666666666663,27.7,5.533333333333332,42.96666666666667
M.S. 890,117.0,16.2,3.4,84.6
M.S. K266 - Park Place Community Middle School,146.0,32.06,3.44,82.2
M.S. K394,566.4,14.64,5.1,91.8
M.S. M245 The Computer School,405.8,18.18,2.16,28.360000000000007
M.S. M247 Dual Language Middle School,199.2,23.34,27.32,93.18
M.S. X101 Edward R. Byrne,501.0,20.28,1.5399999999999998,70.28
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,298.2,5.5200000000000005,74.84,90.72
MANHATTAN BUSINESS ACADEMY,428.4,18.860000000000007,6.44,83.76000000000002
Madiba Prep Middle School,168.2,29.76,6.4,85.30000000000003
"Magnet School of Math, Science and Design Technolo",964.2,22.48,4.62,23.14
Manhattan / Hunter Science High School,449.4,10.98,0.26,62.42
Manhattan Bridges High School,526.6,3.56,51.42,74.97999999999998
Manhattan Center for Science and Mathematics,1605.6,8.82,4.46,83.44
Manhattan Charter School,267.4,21.24,6.8,82.61999999999998
Manhattan Charter School II,190.2,20.08,8.02,85.41999999999999
Manhattan Comprehensive Night and Day High School,746.4,6.48,50.82000000000001,88.96000000000002
Manhattan Early College School for Advertising,233.5,22.15,2.6500000000000004,79.025
Manhattan International High School,336.8,3.5,72.22,61.2
Manhattan School for Career Development,193.0,99.0,26.42,68.32000000000001
Manhattan Village Academy,431.6,13.18,2.22,75.72
Marble Hill High School for International Studies,441.8,10.38,29.880000000000006,92.54
Mark Twain I.S. 239 for the Gifted & Talented,1308.6,9.9,0.8,32.4
Marsh Avenue School for Expeditionary Learning,447.8,20.56,0.4400000000000001,43.48
Marta Valle High School,277.6,27.12,8.2,88.9
Martin Van Buren High School,1558.0,11.38,11.12,71.67999999999998
Maspeth High School,993.4,13.18,1.8200000000000005,67.99999999999999
"Math, Engineering, and Science Academy Charter Hig",335.8,15.920000000000002,13.28,87.26000000000002
"Mathematics, Science Research and Technology Magne",425.4,11.86,6.5,80.05999999999997
Medgar Evers College Preparatory School,1255.0,4.98,0.4400000000000001,71.1
Merrick Academy - Queens Public Charter School,526.6,12.98,2.4400000000000004,61.96
Metropolitan Diploma Plus High School,201.0,18.22,1.98,91.82
Metropolitan Expeditionary Learning School,764.4,19.380000000000006,1.78,65.17999999999999
"Metropolitan High School, The",365.4,27.9,22.72,89.32000000000002
Metropolitan Lighthouse Charter School,419.8,12.220000000000002,13.16,90.02000000000002
Middle College High School at LaGuardia Community,507.8,15.32,0.8,57.4
Middle School 322,330.6,19.22,45.98,92.64
Middle School for Art and Philosophy,233.4,26.1,7.3199999999999985,91.5
Middle School of Marketing and Legal Studies,203.2,18.58,8.02,76.94
Middle Village Prep Charter School,298.8,13.02,0.98,47.08
Midwood High School,3945.0,8.02,3.28,60.54
Millennium Art Academy,463.8,28.160000000000004,5.88,69.17999999999999
Millennium Brooklyn HS,579.8,12.34,0.26,43.16
Millennium High School,648.8,10.6,0.72,44.46
Milton Fein School,734.0,13.46,21.12,84.5
Morris Academy for Collaborative Studies,434.6,26.840000000000003,18.5,92.5
Mosaic Pre-K Center,934.0,3.9333333333333336,0.03333333333333333,74.13333333333333
Mosaic Preparatory Academy,324.4,32.94,9.779999999999998,95.04
Mott Hall Bridges Academy,201.6,25.28,0.9,87.38
Mott Hall Bronx High School,392.2,23.98,11.000000000000002,90.4
Mott Hall Charter School,228.0,19.92,10.7,91.94
Mott Hall Community School,278.2,30.7,9.1,82.34
Mott Hall High School,384.6,24.42,12.679999999999998,91.06000000000002
Mott Hall II,342.4,18.660000000000004,2.02,52.36
Mott Hall III,363.2,15.1,6.08,93.36
Mott Hall IV,178.8,26.98,2.68,89.36000000000001
Mott Hall V,672.4,24.5,11.38,87.08000000000001
Mott Haven Academy Charter School,329.4,23.24,14.44,92.22
Mott Haven Community High School,233.4,29.28,6.58,70.08
Mott Haven Village Preparatory High School,368.6,25.000000000000004,13.88,94.44
Mount Eden Children's Academy,338.6,14.48,21.42,93.66
Multicultural High School,240.8,2.06,90.14,94.66
Murray Hill Academy,302.0,25.16,4.92,81.08000000000001
Murry Bergtraum High School for Business Careers,742.6,21.68,10.04,74.46
Muscota,272.0,13.66,5.76,31.46
N.Y.C. Lab School for Collaborative Studies,548.4,16.86,0.46,32.379999999999995
N.Y.C. Museum School,456.6,10.06,1.0,72.5
"NYC Charter High School for Architecture, Engineer",429.8,19.520000000000003,13.74,91.26
NYC iSchool,447.6,13.86,0.52,42.34
Naples Street Elementary School,203.0,25.840000000000003,1.6,43.18
Neighborhood Charter School of Harlem,325.0,31.32,4.159999999999998,73.03999999999998
Neighborhood School,304.6,24.440000000000005,3.6,41.48
Nelson Mandela High School,218.5,23.7,1.275,75.15
New American Academy Charter School,254.4,16.04,1.1800000000000002,77.1
New Bridges Elementary,388.2,20.8,8.6,89.4
New Dawn Charter High School,290.0,36.8,5.28,74.83999999999997
New Design High School,429.0,25.94,5.36,72.58
New Design Middle School,218.2,35.7,8.959999999999997,92.26
New Directions Secondary School,194.8,34.940000000000005,34.84,89.76
New Dorp High School,2884.0,20.68,4.659999999999998,58.85999999999999
"New Explorations into Science, Technology and Math",1738.4,5.3,0.4,26.28
New Explorers High School,416.2,27.820000000000004,12.14,86.61999999999998
New Heights Academy Charter School,751.6,12.4,12.7,94.04
New Heights Middle School,260.4,27.920000000000005,6.34,87.66
New Hope Academy Charter School,377.4,12.18,0.38,68.47999999999999
New Millennium Business Academy Middle School,198.2,27.78,26.56,86.62
New Utrecht High School,3523.8,16.540000000000006,20.380000000000006,76.17999999999998
New Ventures Charter School,91.0,40.53333333333333,1.1666666666666667,57.9
New Visions A.I.M. Charter High School I,210.8,42.36,4.36,85.4
New Visions A.I.M. Charter High School II,239.2,44.64,10.840000000000002,83.06
New Visions Charter High School for Advanced Math,378.5,15.472222222222225,6.699999999999998,82.48333333333333
New Visions Charter High School for the Humanities,364.4375,20.75625,8.3,79.85625000000002
New Voices School of Academic & Creative Arts,546.6,21.22,1.36,36.46
New World High School,396.8,5.48,66.16,96.52
New World Preparatory Charter School,364.2,23.58,10.78,92.22
New York Center for Autism Charter School,32.2,100.0,3.08,81.32000000000002
New York Center for Autism Charter School Bronx,12.0,100.0,8.3,83.3
New York City Academy for Discovery,459.2,18.4,14.679999999999998,83.67999999999998
New York City Charter School of the Arts,134.5,17.3,1.3,45.75
New York City Lab Middle School for Collaborative,555.4,15.359999999999996,0.78,32.92
New York City Montessori Charter School,298.8,21.020000000000003,16.119999999999994,89.25999999999998
New York French American Charter School,259.0,11.92,20.48,70.61999999999998
Newcomers High School,931.6,1.02,77.58,90.76
Newtown High School,1953.8,12.16,25.08,74.3
Norma Adams Clemons Academy,716.2,20.88,17.5,78.8
North Bronx School of Empowerment,315.4,26.58,8.68,86.58000000000001
North Queens Community High School,208.6,18.300000000000004,2.96,67.62
Northside Charter High School,393.0,17.14,6.92,79.08000000000001
Ocean Hill Collegiate Charter School,326.6,13.98,1.34,80.08
Olympus Academy,196.2,21.54,2.16,77.8
One World Middle School at Edenwald,334.2,23.22,7.360000000000001,83.84
Orchard Collegiate Academy,214.8,30.379999999999995,14.7,88.72
Origins High School,298.4,13.820000000000002,16.98,76.47999999999998
Our World Neighborhood Charter School,718.0,9.1,7.6,73.92
P. S. 62 - Chester Park School,932.8,10.64,14.82,59.92
P.S. /I.S. 384 Frances E. Carter,623.6,21.32,24.56,79.14
P.S. 001 Alfred E. Smith,407.0,22.62,26.46,66.97999999999999
P.S. 001 Courtlandt School,672.6,18.42,25.9,98.62
P.S. 001 The Bergen,1292.4,18.6,43.24,76.9
P.S. 001 Tottenville,498.8,30.360000000000007,5.48,37.84
P.S. 002 Alfred Zimberg,617.4,16.439999999999998,17.360000000000007,75.67999999999998
P.S. 002 Meyer London,681.8,19.3,37.8,96.6
P.S. 003 Charrette School,787.4,18.88,3.94,16.88
P.S. 003 The Bedford Village,457.2,13.7,9.62,89.97999999999998
P.S. 003 The Margaret Gioiosa School,908.0,20.72,1.64,30.4
P.S. 004 Duke Ellington,647.2,21.9,39.78,77.74
P.S. 004 Maurice Wollin,770.0,31.82,3.64,38.42
P.S. 005 Dr. Ronald Mcnair,245.6,29.18,5.92,88.82000000000002
P.S. 005 Ellen Lurie,640.2,19.22,45.54,79.22
P.S. 005 Huguenot,259.6,21.94,0.74,21.14
P.S. 006 Lillie D. Blake,710.8,17.0,2.4000000000000004,7.6
P.S. 006 West Farms,581.8,21.14,10.7,97.6
P.S. 007 Abraham Lincoln,975.2,16.78,18.02,90.96
P.S. 007 Louis F. Simeone,1043.4,11.760000000000002,55.28,88.24000000000002
P.S. 007 Samuel Stern,376.0,28.24,13.66,84.54
P.S. 008 Isaac Varian,1094.4,24.660000000000004,26.140000000000004,89.02000000000002
P.S. 008 Luis Belliard,558.8,17.000000000000004,34.64,96.86
P.S. 008 Robert Fulton,903.0,14.48,2.58,15.52
P.S. 009,638.0,99.48,22.4,67.02000000000001
P.S. 009 Sarah Anderson,627.2,16.18,3.28,21.08
P.S. 009 Teunis G. Bergen,826.8,17.68,3.6,47.24
P.S. 011 Highbridge,692.6,21.640000000000004,25.34,94.76
P.S. 011 Kathryn Phelan,1189.8,18.3,25.1,55.58
P.S. 011 Purvis J. Behan,827.4,11.2,1.56,47.43999999999999
P.S. 011 William T. Harris,893.4,13.98,3.3600000000000003,29.340000000000003
P.S. 012 James B. Colgate,1260.4,12.56,29.5,89.44
P.S. 013 Clement C. Moore,1611.4,13.0,32.72,62.7
P.S. 013 M. L. Lindemeyer,866.0,23.12,15.76,58.38
P.S. 013 Roberto Clemente,491.6,20.78,11.279999999999998,95.26000000000002
P.S. 014 Fairview,1740.4,16.14,28.52,72.66
P.S. 015 Jackie Robinson,450.0,12.26,2.08,79.22
P.S. 015 Patrick F. Daly,449.4,32.38,5.5,71.3
P.S. 015 Roberto Clemente,183.4,31.14,7.860000000000001,87.41999999999999
P.S. 016 John J. Driscoll,609.2,28.22,26.0,96.74
P.S. 016 Leonard Dunkly,236.8,28.28,7.719999999999999,84.53999999999998
P.S. 016 Wakefield,470.4,21.92,6.040000000000001,95.02
P.S. 017 Henry D. Woodworth,301.4,32.160000000000004,15.62,64.56000000000002
P.S. 017 Henry David Thoreau,545.8,20.66,22.96,66.6
P.S. 018 Edward Bush,187.2,26.98,18.520000000000003,92.18
P.S. 018 John G. Whittier,604.8,36.52,6.08,84.63999999999999
P.S. 018 John Peter Zenger,589.6,26.3,26.9,95.66
P.S. 018 Park Terrace,387.6,19.28,43.32,79.46
P.S. 018 Winchester,640.4,10.820000000000002,9.58,57.26000000000001
P.S. 019 Asher Levy,270.6,31.68,5.340000000000002,76.46000000000002
P.S. 019 Judith K. Weiss,510.2,17.240000000000002,8.46,57.2
P.S. 019 Marino Jeantet,1963.0,20.88,58.92,81.1
P.S. 019 The Curtis School,624.6,22.0,18.02,73.58000000000001
P.S. 020 Anna Silver,576.4,22.22,17.02,65.32000000000001
P.S. 020 Clinton Hill,393.2,16.16,3.78,65.84
P.S. 020 John Bowne,1380.6,11.580000000000002,34.7,93.74
P.S. 020 Port Richmond,485.0,34.1,39.66,97.42
P.S. 021 Crispus Attucks,613.0,19.56,1.66,69.64
P.S. 021 Edward Hart,1381.4,12.32,18.46,77.38
