school_name,total_enrollment,percent_students_with_disabilities,percent_english_learners,percent_poverty
Bronx Charter School for Excellence 3,148.0,4.7,8.8,65.5
Bronx Charter School for Excellence II,149.0,11.15,16.1,78.2
Bronx Charter School for the Arts,318.4,18.92,13.72,79.3
Bronx Collaborative High School,341.4,21.68,18.62,87.1
Bronx Collegiate Academy,387.2,24.5,25.22,76.94000000000003
Bronx Community Charter School,410.8,19.02,14.94,84.38000000000002
Bronx Community High School,178.8,13.5,3.88,69.52000000000001
Bronx Compass High School,378.6,27.32,8.040000000000001,71.36
Bronx Dance Academy School,265.2,20.74,7.039999999999999,88.42
Bronx Delta School,177.0,14.975,7.725,75.3
Bronx Design and Construction Academy,526.8,26.72,15.78,90.7
Bronx Early College Academy for Teaching & Learnin,517.2,18.22,12.48,87.52000000000002
Bronx Engineering and Technology Academy,409.8,23.379999999999995,12.36,89.53999999999998
Bronx Envision Academy,364.0,22.9,12.94,87.34
Bronx Global Learning Institute for Girls Charter,407.2,11.36,11.38,87.18
Bronx Green Middle School,398.8,23.0,17.68,93.64
Bronx Haven High School,182.4,23.02,5.34,79.8
Bronx Health Sciences High School,337.8,10.760000000000002,5.12,75.75999999999998
Bronx High School for Law and Community Service,405.0,26.22,14.06,89.92
Bronx High School for Medical Science,440.6,14.8,7.2799999999999985,74.52000000000002
Bronx High School for Writing and Communication Ar,365.6,23.84,9.48,64.34
Bronx High School for the Visual Arts,480.8,28.02,3.9,76.02000000000002
Bronx High School of Business,315.6,24.44,33.779999999999994,74.44
Bronx International High School,407.0,3.88,88.94,92.46
Bronx Lab School,439.4,23.52,10.419999999999998,71.32
Bronx Latin,554.6,24.9,14.06,94.28
Bronx Leadership Academy High School,662.2,26.820000000000004,14.080000000000002,88.24
Bronx Leadership Academy II High School,505.4,25.860000000000007,15.82,92.02
Bronx Lighthouse Charter School,659.0,15.46,7.32,86.12
Bronx Little School,337.6,22.46,12.78,91.58
Bronx Park Middle School,372.4,19.380000000000006,17.02,85.0
Bronx Preparatory Charter School,709.8,12.179999999999998,6.2799999999999985,85.67999999999998
Bronx Regional High School,248.4,14.36,10.34,82.75999999999998
Bronx River High School,283.4,23.94,15.62,76.94000000000003
"Bronx School for Law, Government and Justice",773.6,19.9,7.039999999999999,91.38
Bronx School of Law and Finance,406.8,23.92,13.52,83.9
Bronx Studio School for Writers and Artists,594.8,25.82,13.06,79.03999999999998
Bronx Theatre High School,406.0,23.6,9.12,85.6
Bronx Writing Academy,462.0,21.52,27.920000000000005,94.06
Bronxdale High School,418.2,21.0,5.639999999999999,84.0
Brooklyn Academy High School,158.2,24.2,0.0,86.22
Brooklyn Academy of Science and the Environment,423.2,16.880000000000006,6.18,81.74000000000002
Brooklyn Arbor Elementary School,511.2,20.98,8.9,66.52
Brooklyn Arts and Science Elementary School,348.0,25.28,10.1,67.0
Brooklyn Ascend Charter School,1136.2,12.28,0.86,78.23999999999998
Brooklyn Bridge Academy,193.0,21.54,4.92,82.2
Brooklyn Brownstone School,237.4,14.28,0.22000000000000006,69.36
Brooklyn Charter School,234.2,11.66,5.460000000000001,77.22
Brooklyn College Academy,611.8,7.88,0.32,71.17999999999998
Brooklyn Collegiate: A College Board School,324.8,23.74,3.64,89.0
Brooklyn Community Arts & Media High School (BCAM),403.8,22.18,3.88,84.28
Brooklyn Democracy Academy,211.8,21.32,3.56,69.66
Brooklyn Dreams Charter School,615.2,15.3,7.38,67.61999999999999
Brooklyn East Collegiate Charter School,336.4,14.96,2.06,79.94000000000003
Brooklyn Emerging Leaders Academy,64.0,25.0,3.1,82.8
Brooklyn Environmental Exploration School (BEES),87.0,33.2,4.34,90.74
Brooklyn Excelsior Charter School,671.4,13.32,2.6,79.67999999999998
Brooklyn Frontiers High School,174.4,47.17999999999999,4.38,89.23999999999998
Brooklyn Gardens Elementary School,266.2,26.68,7.2,93.92
Brooklyn Generation School,247.8,22.62,7.62,78.84
Brooklyn High School for Law and Technology,603.2,20.380000000000006,3.44,83.04
Brooklyn High School for Leadership and Community,218.0,18.16,4.28,81.06
Brooklyn High School of the Arts,868.4,12.72,1.12,74.25999999999998
Brooklyn Institute for Liberal Arts,303.2,17.9,5.96,89.16
Brooklyn International High School,353.0,2.92,79.55999999999997,62.25999999999999
Brooklyn LAB Charter School,370.0,25.2,1.825,59.375
Brooklyn Lab School,348.2,21.4,20.02,84.38
Brooklyn Landmark Elementary School,243.0,20.28,3.98,87.46
"Brooklyn Latin School, The",666.8,2.4400000000000004,0.12,63.48
Brooklyn Preparatory High School,506.8,17.46,2.9199999999999995,82.66
Brooklyn Prospect Charter School,809.2,17.779999999999994,1.6,38.78
Brooklyn Prospect Charter School Downtown,304.5,13.15,0.9,46.1
Brooklyn Scholars Charter School,655.8,9.419999999999998,0.8,66.47999999999999
Brooklyn School for Music & Theatre,349.0,17.82,1.3,82.88
Brooklyn School of Inquiry,498.2,6.76,6.719999999999999,20.840000000000003
Brooklyn Science and Engineering Academy,177.25,16.325000000000006,2.225,79.1
Brooklyn Secondary School for Collaborative Studie,676.4,32.879999999999995,6.26,71.4
Brooklyn Studio Secondary School,917.6,18.92,13.38,75.64000000000001
Brooklyn Technical High School,5591.8,1.5,0.04,62.88
Brooklyn Theatre Arts High School,380.8,17.5,3.22,83.32000000000002
Brooklyn Urban Garden Charter School,239.8,23.28,3.4200000000000004,48.56
Brooklyn's Daily Discovery Pre-K Center,230.33333333333331,11.966666666666667,0.0,60.33333333333334
Broome Street Academy Charter School,319.4,25.72,3.02,80.02000000000002
Brownsville Academy High School,167.4,18.3,1.9,83.0
Brownsville Ascend Charter School,881.8,11.26,0.9,71.34
Brownsville Collaborative Middle School,111.8,31.68,10.4,95.24
Brownsville Collegiate Charter School,378.0,16.840000000000003,3.3599999999999994,84.24
Bushwick Ascend Charter School,727.4,14.6,16.82,85.14
Bushwick Community High School,272.0,20.56,3.4,68.34
Bushwick Leaders High School for Academic Excellen,303.6,24.78,22.26,96.22
Business Of Sports School,438.4,23.68,7.4,65.76
Business Technology Early College High School,266.0,16.05,3.075,71.05
CSI High School for International Studies,505.6,16.06,0.4,44.36
Cambria Heights Academy,365.0,19.28,4.460000000000001,72.64
Canarsie Ascend Charter School,435.0,11.04,0.34,70.3
Capital Preparatory (CP) Harlem Charter School,197.5,23.0,1.7999999999999998,68.4
Careers in Sports High School,565.8,24.0,9.080000000000002,87.76
Cascades High School,233.0,10.26,2.56,77.73999999999998
Castle Bridge School,184.0,29.0,21.3,57.24000000000001
Catherine & Count Basie Middle School 72,613.8,25.32,5.5200000000000005,79.02000000000002
"Celia Cruz Bronx High School of Music, The",429.2,16.94,4.7200000000000015,85.76000000000002
Central Brooklyn Ascend Charter School,299.5,15.475,2.2750000000000004,78.35
Central Park East High School,480.2,14.84,2.84,87.46
Central Park East I,202.6,18.28,2.0,35.28
Central Park East II,344.6,23.3,0.8800000000000001,30.82
Central Queens Academy Charter School,344.6,12.36,9.72,86.46
Challenge Preparatory Charter School,594.2,12.7,3.3800000000000003,82.82000000000002
Channel View School for Research,750.6,13.720000000000002,1.7600000000000002,75.28
Charter High School for Law and Social Justice,242.0,11.633333333333333,5.8,76.0
Chelsea Career and Technical Education High School,436.8,19.18,3.2,86.5
Children's Aid College Prep Charter School,343.4,19.48,8.8,82.62
Christopher Avenue Community School,295.6,25.06,2.92,94.3
Citizens of the World Charter School 1 Williamsbur,251.2,24.7,17.119999999999994,85.44000000000003
Citizens of the World Charter School New York 2 Cr,264.8,13.06,1.64,86.36000000000001
City College Academy of the Arts,597.8,14.339999999999998,5.1,81.2
City Knoll Middle School,179.75,32.275,7.625,72.375
"City Polytechnic High School of Engineering, Archi",449.6,19.42,2.0,75.1
Civic Leadership Academy,486.8,17.36,6.0,76.88
Clara Barton High School,1369.4,17.3,9.38,79.47999999999998
Claremont International HS,307.6,3.46,86.4,88.72
Coalition School for Social Change,221.6,33.2,8.76,77.03999999999998
Cobble Hill School of American Studies,587.6,20.62,8.34,87.74000000000002
Collaborative Arts Middle School,390.0,24.16,2.92,74.86
Collegiate Academy for Math and Personal Awareness,64.5,22.45,3.95,70.4
Collegiate Institute for Math and Science,659.0,17.060000000000002,3.04,73.98
Columbia Secondary School,675.8,8.84,0.3,55.36
Community Action School - MS 258,238.8,29.76,3.3200000000000003,68.98
Community Health Academy of the Heights,648.0,19.26,21.5,92.04
Community Math & Science Prep,225.6,29.54,42.5,96.62
Community Partnership Charter School,420.4,16.119999999999994,1.66,83.84
Community Roots Charter School,452.8,24.32,1.7399999999999998,27.36
Community School for Social Justice,324.0,26.02,11.82,90.8
Community Voices Middle School,377.6,22.8,4.5200000000000005,73.42
Compass Charter School,187.5,15.9,0.7250000000000001,30.825000000000006
Comprehensive Model School Project M.S. 327,672.2,22.54,10.6,91.68
Concord High School,167.6,29.660000000000004,1.34,63.88
Concourse Village Elementary School,302.0,20.94,22.1,95.62
Coney Island Preparatory Public Charter School,765.6,23.06,3.8,83.42
Conselyea Preparatory School,502.0,18.42,3.6,48.36
Cornerstone Academy for Social Action,390.4,18.92,4.2,89.48
Cornerstone Academy for Social Action Middle Schoo,256.4,21.700000000000006,3.22,83.55999999999997
Corona Arts & Sciences Academy,377.4,15.080000000000002,26.12,97.58
Creston Academy,472.2,20.16,33.34,94.34
Crotona Academy High School,143.5,37.05,12.6,80.0
Crotona International High School,320.4,5.0600000000000005,90.46,80.17999999999998
Cultural Academy for the Arts and Sciences,333.4,22.36,7.9,75.54
Curtis High School,2508.0,19.22,6.2799999999999985,75.32000000000002
Cynthia Jenkins School,520.8,19.52,4.16,79.5
Cypress Hills Collegiate Preparatory School,279.6,16.96,20.28,87.22
DREAM Charter School,480.4,24.86,7.0,82.58
DeWitt Clinton High School,1845.6,17.080000000000002,21.86,81.4
Democracy Prep Charter School,718.2,17.439999999999998,3.78,74.96000000000002
Democracy Prep Endurance Charter School,430.6,21.28,5.98,74.6
Democracy Prep Harlem Charter School,803.6,15.8,5.6400000000000015,75.32000000000002
Digital Arts and Cinema Technology High School,228.8,30.160000000000004,5.799999999999999,85.74000000000002
Discovery High School,504.0,27.48,19.62,85.18
District 11 Pre-K Center,130.0,1.5333333333333334,0.0,71.33333333333333
District 13 PRE-K Center,63.0,6.1,0.0,3.95
District 2 Pre-K Center,311.6666666666667,6.533333333333334,0.0,13.966666666666667
District 20 Pre-K Center,988.3333333333335,5.1,0.0,66.06666666666666
District 25 PRE-K Center,141.5,5.55,0.0,47.0
District 29 Pre-K Center,150.33333333333334,6.333333333333332,0.0,66.36666666666666
District 30 Pre-K Center,238.0,2.4333333333333336,0.0,46.4
Dock Street School for STEAM Studies,127.2,30.22,4.0600000000000005,85.1
Dos Puentes Elementary School,207.6,21.34,45.32,74.36
Dr. Jacqueline Peek-Davis School,236.6,26.62,5.7200000000000015,91.7
Dr. Richard Izquierdo Health and Science Charter S,614.4,17.1,10.38,93.24
Dr. Susan S. McKinney Secondary School of the Arts,424.4,22.22,4.4,83.16
DreamYard Preparatory School,305.2,21.02,23.68,77.41999999999999
E.S.M.T- I.S. 190,245.4,25.14,8.900000000000002,90.28
EBC High School for Public Service - Bushwick,511.2,20.82,21.12,93.08
"EMBER Charter School for Mindful Education, Innova",371.0,14.779999999999998,8.0,88.97999999999998
Eagle Academy for Young Men,571.6,27.24,4.18,80.96000000000002
Eagle Academy for Young Men II,590.6,24.380000000000006,0.9999999999999998,77.6
Eagle Academy for Young Men III,460.8,24.12,0.34,68.22
Eagle Academy for Young Men of Harlem,198.8,26.72000000000001,4.16,78.22
Earth School,333.0,23.78,5.0200000000000005,46.7
East Bronx Academy for the Future,647.2,30.340000000000003,11.9,91.32
East Brooklyn Community High School,188.8,27.880000000000006,3.78,75.82000000000002
East Elmhurst Community School,230.4,18.88,51.4,95.98
East Flatbush Community Research School,162.0,26.28,11.82,93.8
East Fordham Academy for the Arts,317.0,25.500000000000004,26.1,92.52
East Harlem Scholars Academy Charter School,361.4,25.92,11.38,84.9
East Harlem Scholars Academy Charter School II,245.0,19.1,13.26,91.8
East New York Elementary School of Excellence,555.6,20.24,13.62,86.12
East New York Family Academy,489.0,17.22,2.88,79.82000000000002
East New York Middle School of Excellence,253.4,24.34,6.8599999999999985,87.22
East River Academy,557.2,37.04,9.72,53.96
East Side Community School,674.8,27.940000000000005,1.08,70.28
"East Side Elementary School, PS 267",349.0,18.12,4.1,7.659999999999998
East Side Middle School,445.2,15.679999999999998,0.0,10.52
East Williamsburg Scholars Academy,503.0,18.9,20.94,87.1
East-West School of International Studies,664.8,12.279999999999998,8.9,83.88
Ebbets Field Middle School,210.6,25.66,21.3,96.52
Edward A. Reynolds West Side High School,515.0,27.040000000000006,7.42,91.46
Edward R. Murrow High School,3911.4,17.54,7.94,63.82000000000001
El Puente Academy for Peace and Justice,238.8,23.68,15.7,81.0
Eleanor Roosevelt High School,542.0,8.540000000000001,0.16,22.88
"Elementary School for Math, Science, and Technolog",284.4,14.580000000000002,30.54,96.56
Elijah Stroud Middle School,204.4,29.24,5.54,88.92
Ella Baker School,321.6,21.54,2.66,39.12
Elm Tree Elementary School,234.0,16.54,66.28,96.6
Emma Lazarus High School,264.0,0.0,80.4,95.34
Emolior Academy,248.6,27.079999999999995,19.380000000000006,86.88
Energy Tech High School,324.6,16.580000000000002,3.94,77.04
English Language Learners and International Suppor,350.4,1.16,86.16,90.03999999999998
Entrada Academy,274.6,21.14,37.14,96.48
Epic High School - North,236.5,11.325,5.075,74.775
Epic High School - South,213.5,15.0,6.2250000000000005,69.17500000000001
Esperanza Preparatory Academy,530.0,27.68,30.48,91.98
Essex Street Academy,351.0,26.380000000000006,3.92,71.04
Evergreen Middle School for Urban Exploration,312.4,25.46,22.08,90.48000000000002
Excellence Boys Charter School,753.8,15.84,1.7399999999999998,73.8
Excellence Girls Charter School,936.0,9.66,1.92,75.14000000000001
Excelsior Preparatory High School,491.2,15.52,5.1,76.39999999999998
Eximius College Preparatory Academy: A College Boa,435.0,21.8,10.04,88.43999999999998
Expeditionary Learning School for Community Leader,300.4,17.880000000000006,17.140000000000004,79.5
Explorations Academy H.S.,354.6,25.660000000000004,19.54,92.86
Explore Charter School,529.8,14.16,4.58,76.47999999999998
Explore Empower Charter School,485.0,22.1,3.62,85.10000000000002
Explore Exceed Charter School,423.4,22.340000000000003,5.48,80.68
Explore Excel Charter School,471.2,20.06,4.24,78.94
FDNY - Captain Vernon A. Richard High School for F,325.4,26.32,4.16,83.1
"Facing History School, The",409.0,23.86,18.160000000000004,74.11999999999998
Fairmont Neighborhood School,282.4,27.02,15.419999999999998,94.34
Family Life Academy Charter School,432.6,11.2,20.140000000000004,88.98
Family Life Academy Charter School II,278.0,12.6,13.34,95.34
Family Life Academy Charter School III,173.0,13.6,22.725,94.15
Fannie Lou Hamer Freedom High School,482.2,29.0,10.04,76.47999999999998
Fannie Lou Hamer Middle School,266.6,24.880000000000006,16.46,80.66
Felisa Rincon de Gautier Institute for Law and Pub,262.6,31.04,17.04,88.08
Fiorello H. LaGuardia High School of Music & Art a,2716.8,2.4,0.08,30.2
Flushing High School,1989.6,14.039999999999996,21.24,71.82
Flushing International High School,437.4,2.02,83.02000000000002,92.0
Food and Finance High School,411.6,17.54,3.86,82.74000000000002
Fordham High School for the Arts,383.6,19.82,3.4799999999999995,88.64
Fordham Leadership Academy,399.8,27.7,18.28,89.06
Forest Hills High School,3832.0,13.3,6.48,66.34
Forsyth Satellite Academy,206.6,20.360000000000007,6.7,77.56
Fort Greene Preparatory Academy,232.0,25.24,6.76,82.66
Fort Hamilton High School,4446.0,14.62,16.92,68.7
Fort Hill Collaborative Elementary School,117.0,30.45,28.675,92.6
Forte Preparatory Academy Charter School,88.0,18.2,19.3,89.8
Francis Lewis High School,4307.8,13.18,11.02,74.03999999999998
Frank Mccourt High School,393.6,18.48,1.22,51.64
Frank Sinatra School of the Arts High School,814.4,10.06,0.4600000000000001,40.58
Franklin Delano Roosevelt High School,3154.2,13.98,34.5,79.96
Frederick Douglass Academy,1424.2,13.419999999999998,2.88,73.75999999999998
Frederick Douglass Academy II Secondary School,394.0,24.14,9.4,74.67999999999998
Frederick Douglass Academy III Secondary School,418.0,21.58,12.8,86.8
Frederick Douglass Academy V. Middle School,254.6,26.3,9.2,86.7
